,CO2
2015-01-01,14.772527727664347
2016-01-01,14.554279274261637
2017-01-01,14.498385874995359
2018-01-01,14.457749784341077
2019-01-01,14.486318153570553
2020-01-01,14.571225262480453
2021-01-01,14.713376788797127
2022-01-01,14.897709954181868
2023-01-01,15.118461116212416
2024-01-01,15.360723322154445
2025-01-01,15.612993349995904
2026-01-01,15.860896278310808
2027-01-01,16.092145981543865
2028-01-01,16.29453420207747
2029-01-01,16.45821481451713
2030-01-01,16.575152760537062
2031-01-01,16.64014876248445
2032-01-01,16.65066553223508
2033-01-01,16.60715969560852
2034-01-01,16.51285097113827
2035-01-01,16.37359981577338
2036-01-01,16.197493826665607
2037-01-01,15.99442138369774
2038-01-01,15.77549844701013
2039-01-01,15.552478686520232
2040-01-01,15.337117419171042
2041-01-01,15.140561306442518
2042-01-01,14.972771787044621
2043-01-01,14.842026503632246
2044-01-01,14.754514328182102
2045-01-01,14.714049213937288
2046-01-01,14.721912209389123
2047-01-01,14.776829828014517
2048-01-01,14.875086104968117
2049-01-01,15.010760940453807
2050-01-01,15.176079460497451
2051-01-01,15.36185244437857
2052-01-01,15.557982915978315
2053-01-01,15.754011308325655
2054-01-01,15.939669873630955
2055-01-01,16.105417179172825
2056-01-01,16.24292501186593
2057-01-01,16.345493051219627
2058-01-01,16.408370862501872
2059-01-01,16.428972001270587
2060-01-01,16.406970931547402
2061-01-01,16.34427977239463
2062-01-01,16.244908231747864
2063-01-01,16.114716149003595
2064-01-01,15.961073524100225
2065-01-01,15.792447493332501
2066-01-01,15.617939191616966
2067-01-01,15.446795657746572
2068-01-01,15.28792279785326
2069-01-01,15.149424903223856
2070-01-01,15.038194372822865
2071-01-01,14.959572239165023
2072-01-01,14.917096019644282
2073-01-01,14.912346546071385
2074-01-01,14.944900032122082
2075-01-01,15.012386013588246
2076-01-01,15.110646238518063
2077-01-01,15.233984383523806
2078-01-01,15.375491894806336
2079-01-01,15.527431526514784
2080-01-01,15.681657454930253
2081-01-01,15.83004930738293
2082-01-01,15.964937119852369
2083-01-01,16.079495122231904
2084-01-01,16.168084277322112
2085-01-01,16.226526542199373
2086-01-01,16.2522977011839
2087-01-01,16.244630119970946
2088-01-01,16.20452164377524
2089-01-01,16.13465184662085
2090-01-01,16.039211671090197
2091-01-01,15.923656927489578
2092-01-01,15.794399923609935
2093-01-01,15.65845648305524
2094-01-01,15.523067639541802
2095-01-01,15.395316277390036
2096-01-01,15.281758891806932
2097-01-01,15.188091490799266
2098-01-01,15.11886653281407
2099-01-01,15.077274819342794
2100-01-01,15.065002610698961
2101-01-01,15.082170109311459
2102-01-01,15.127353082638471
2103-01-01,15.197685010682186
2104-01-01,15.289032971170277
2105-01-01,15.396236733489127
2106-01-01,15.513397408776056
2107-01-01,15.634199650824176
2108-01-01,15.752249930135825
2109-01-01,15.861412873014409
2110-01-01,15.956128080006902
2111-01-01,16.031691174182463
2112-01-01,16.084484993366157
2113-01-01,16.112149703439897
2114-01-01,16.113684009720004
2115-01-01,16.08947339253582
2116-01-01,16.041245188831486
2117-01-01,15.971954177191552
2118-01-01,15.885605899283362
2119-01-01,15.787028083631832
2120-01-01,15.681603071658925
2121-01-01,15.574975958956204
2122-01-01,15.472754174686216
2123-01-01,15.380214390237157
2124-01-01,15.302031980978002
2125-01-01,15.242046812031107
2126-01-01,15.203076970519461
2127-01-01,15.186789347710102
2128-01-01,15.193632837481402
2129-01-01,15.22283653438284
2130-01-01,15.272471866857481
2131-01-01,15.33957427072914
2132-01-01,15.420316967204874
2133-01-01,15.510226812550593
2134-01-01,15.604430161408308
2135-01-01,15.697915328338075
2136-01-01,15.785797601790913
2137-01-01,15.863572881413972
2138-01-01,15.927346853923563
2139-01-01,15.974028137549656
2140-01-01,16.001475918948504
2141-01-01,16.00859515947824
2142-01-01,15.995375317903623
2143-01-01,15.962871567922983
2144-01-01,15.913130519714178
2145-01-01,15.849065326207878
2146-01-01,15.774287619422806
2147-01-01,15.692905851053515
2148-01-01,15.60930120082938
2149-01-01,15.527893192320327
2150-01-01,15.452907478643386
2151-01-01,15.388157924663062
2152-01-01,15.336854147115464
2153-01-01,15.301444141403486
2154-01-01,15.283499614020501
2155-01-01,15.28364926645806
2156-01-01,15.30156267083882
2157-01-01,15.335984680037765
2158-01-01,15.38481766866661
2159-01-01,15.445246443726505
2160-01-01,15.513898520364076
2161-01-01,15.587030735681045
2162-01-01,15.660731954682257
2163-01-01,15.731130962076394
2164-01-01,15.794598556406578
2165-01-01,15.84793336253447
2166-01-01,15.888521918378036
2167-01-01,15.914465107899504
2168-01-01,15.924664916740452
2169-01-01,15.918867672914724
2170-01-01,15.897662283055029
2171-01-01,15.862434358964261
2172-01-01,15.815279424096335
2173-01-01,15.758880476452854
2174-01-01,15.696356957612986
2175-01-01,15.631093549909618
2176-01-01,15.566558130381164
2177-01-01,15.506118611871681
2178-01-01,15.452868286476457
2179-01-01,15.409468669685795
2180-01-01,15.378017766325339
2181-01-01,15.359950206370822
2182-01-01,15.355973914153111
2183-01-01,15.366045977410078
2184-01-01,15.389388281495837
2185-01-01,15.424541380756146
2186-01-01,15.469453103145565
2187-01-01,15.521596627020378
2188-01-01,15.578111318844082
2189-01-01,15.635958547790137
2190-01-01,15.692084047390201
2191-01-01,15.743578201678043
2192-01-01,15.78782589573631
2193-01-01,15.822638266300977
2194-01-01,15.846359772942868
2195-01-01,15.857945420555856
2196-01-01,15.85700461975847
2197-01-01,15.843809982231514
2198-01-01,15.819271215369508
2199-01-01,15.78487610607574
2200-01-01,15.742602272194617
2201-01-01,15.694804825923335
2202-01-01,15.644086263757258
2203-01-01,15.593155716064887
2204-01-01,15.544685119646978
2205-01-01,15.501169902992038
2206-01-01,15.464801402217194
2207-01-01,15.437357482450206
2208-01-01,15.420116770225247
2209-01-01,15.413800569155596
2210-01-01,15.418545008269222
2211-01-01,15.43390434310858
2212-01-01,15.458884681256334
2213-01-01,15.492005823054114
2214-01-01,15.53138747654795
2215-01-01,15.574854895468183
2216-01-01,15.620058059785862
2217-01-01,15.664597913755403
2218-01-01,15.706152922242543
2219-01-01,15.742599309610465
2220-01-01,15.77211879469964
2221-01-01,15.79328840078747
2222-01-01,15.805147955121594
2223-01-01,15.807242139607046
2224-01-01,15.799635343398094
2225-01-01,15.782899024189797
2226-01-01,15.758072730450115
2227-01-01,15.726601296145729
2228-01-01,15.6902519230172
2229-01-01,15.651015852880269
2230-01-01,15.611000055893232
2231-01-01,15.572314787040328
2232-01-01,15.536962975202144
2233-01-01,15.506737206843797
2234-01-01,15.483129565756625
2235-01-01,15.46725882298189
2236-01-01,15.45981848197842
2237-01-01,15.461048029039231
2238-01-01,15.470728481385382
2239-01-01,15.488202032978762
2240-01-01,15.512414339225348
2241-01-01,15.541976821739144
2242-01-01,15.575245372212125
2243-01-01,15.610411039871973
2244-01-01,15.645597737932334
2245-01-01,15.678961725238386
2246-01-01,15.708787619799129
2247-01-01,15.733575976064945
2248-01-01,15.752117988342182
2249-01-01,15.763553636289293
2250-01-01,15.767410521558212
2251-01-01,15.763621705244342
2252-01-01,15.752521986053267
2253-01-01,15.734823198528776
